"","state_po","county_name","county_fips","DEMOCRAT","REPUBLICAN","county","state","lon","lat","rMapState","rMapCounty","win"
"27","AL","ESCAMBIA",1053,4918,10869,"Escambia County","AL",-87.15746525,31.13336493,"alabama","escambia","Donald Trump"
"28","AL","ETOWAH",1055,11567,35528,"Etowah County","AL",-86.0334282,34.0527293,"alabama","etowah","Donald Trump"
"29","AL","FAYETTE",1057,1395,7300,"Fayette County","AL",-87.73637609,33.72193461,"alabama","fayette","Donald Trump"
"30","AL","FRANKLIN",1059,2086,10376,"Franklin County","AL",-87.84558379,34.44338254,"alabama","franklin","Donald Trump"
"31","AL","GENEVA",1061,1595,10848,"Geneva County","AL",-85.8443776,31.09992203,"alabama","geneva","Donald Trump"
"32","AL","GREENE",1063,3884,875,"Greene County","AL",-87.94813999,32.86570101,"alabama","greene","Joseph Biden"
"33","AL","HALE",1065,4663,3192,"Hale County","AL",-87.62219763,32.76490176,"alabama","hale","Joseph Biden"
"34","AL","HENRY",1067,2606,6607,"Henry County","AL",-85.2541057,31.51595712,"alabama","henry","Donald Trump"
"35","AL","HOUSTON",1069,12917,32618,"Houston County","AL",-85.31543021,31.15254068,"alabama","houston","Donald Trump"
"36","AL","JACKSON",1071,3717,19670,"Jackson County","AL",-85.99775089,34.77683646,"alabama","jackson","Donald Trump"
"37","AL","JEFFERSON",1073,181688,138843,"Jefferson County","AL",-86.89025434,33.56305784,"alabama","jefferson","Joseph Biden"
"38","AL","LAMAR",1075,978,6174,"Lamar County","AL",-88.09795652,33.78170368,"alabama","lamar","Donald Trump"
"39","AL","LAUDERDALE",1077,11915,31721,"Lauderdale County","AL",-87.65420478,34.90408733,"alabama","lauderdale","Donald Trump"
"40","AL","LAWRENCE",1079,3562,12322,"Lawrence County","AL",-87.30558826,34.52482237,"alabama","lawrence","Donald Trump"
"41","AL","LEE",1081,27860,42221,"Lee County","AL",-85.35526336,32.60991751,"alabama","lee","Donald Trump"
"42","AL","LIMESTONE",1083,13672,34640,"Limestone County","AL",-86.97369268,34.81222508,"alabama","limestone","Donald Trump"
"43","AL","LOWNDES",1085,4972,1836,"Lowndes County","AL",-86.65003578,32.15780715,"alabama","lowndes","Joseph Biden"
"44","AL","MACON",1087,7108,1541,"Macon County","AL",-85.69511359,32.39385812,"alabama","macon","Joseph Biden"
"45","AL","MADISON",1089,87286,102780,"Madison County","AL",-86.54312668,34.76518768,"alabama","madison","Donald Trump"
"46","AL","MARENGO",1091,5488,5343,"Marengo County","AL",-87.77831202,32.25123243,"alabama","marengo","Joseph Biden"
"47","AL","MARION",1093,1463,12205,"Marion County","AL",-87.88319784,34.13791708,"alabama","marion","Donald Trump"
"48","AL","MARSHALL",1095,5943,33191,"Marshall County","AL",-86.30606724,34.370296,"alabama","marshall","Donald Trump"
"49","AL","MOBILE",1097,79474,101243,"Mobile County","AL",-88.20696476,30.81361759,"alabama","mobile","Donald Trump"
"50","AL","MONROE",1099,4455,6147,"Monroe County","AL",-87.36400237,31.57220015,"alabama","monroe","Donald Trump"
"51","AL","MONTGOMERY",1101,64529,33311,"Montgomery County","AL",-86.2071019,32.2253798,"alabama","montgomery","Joseph Biden"
"52","AL","MORGAN",1103,13234,39664,"Morgan County","AL",-86.84793577,34.45799994,"alabama","morgan","Donald Trump"
"53","AL","PERRY",1105,3860,1339,"Perry County","AL",-87.28406573,32.63755143,"alabama","perry","Joseph Biden"
"54","AL","PICKENS",1107,4022,5594,"Pickens County","AL",-88.08688718,33.28043537,"alabama","pickens","Donald Trump"
"55","AL","PIKE",1109,5636,8042,"Pike County","AL",-85.94178756,31.80547499,"alabama","pike","Donald Trump"
"56","AL","RANDOLPH",1111,2203,8559,"Randolph County","AL",-85.4565992,33.29417484,"alabama","randolph","Donald Trump"
"57","AL","RUSSELL",1113,11228,9864,"Russell County","AL",-85.19410539,32.29519985,"alabama","russell","Joseph Biden"
"58","AL","ST. CLAIR",1115,7744,36166,"St. Clair County","AL",-86.31393064,33.72446506,"alabama","st clair","Donald Trump"
"59","AL","SHELBY",1117,33268,79700,"Shelby County","AL",-86.66510363,33.26761124,"alabama","shelby","Donald Trump"
"60","AL","SUMTER",1119,4648,1598,"Sumter County","AL",-88.19206323,32.58961948,"alabama","sumter","Joseph Biden"
"61","AL","TALLADEGA",1121,13138,22235,"Talladega County","AL",-86.1631135,33.3865307,"alabama","talladega","Donald Trump"
"62","AL","TALLAPOOSA",1123,5859,14963,"Tallapoosa County","AL",-85.8010116,32.86843413,"alabama","tallapoosa","Donald Trump"
"63","AL","TUSCALOOSA",1125,37765,51117,"Tuscaloosa County","AL",-87.51696088,33.29437697,"alabama","tuscaloosa","Donald Trump"
"64","AL","WALKER",1127,4834,26002,"Walker County","AL",-87.28917888,33.81329044,"alabama","walker","Donald Trump"
"65","AL","WASHINGTON",1129,2258,6564,"Washington County","AL",-88.2056405,31.41319608,"alabama","washington","Donald Trump"
"66","AL","WILCOX",1131,4048,1833,"Wilcox County","AL",-87.2977354,31.99307576,"alabama","wilcox","Joseph Biden"
"67","AL","WINSTON",1133,974,10195,"Winston County","AL",-87.37003595,34.15314922,"alabama","winston","Donald Trump"
"68","AK","DISTRICT 1",2001,3477,3511,NA,NA,NA,NA,NA,NA,"Donald Trump"
"69","AK","DISTRICT 2",2002,2104,3674,NA,NA,NA,NA,NA,NA,"Donald Trump"
"70","AK","DISTRICT 3",2003,1903,6076,NA,NA,NA,NA,NA,NA,"Donald Trump"
"71","AK","DISTRICT 4",2004,5345,4690,NA,NA,NA,NA,NA,NA,"Joseph Biden"
"72","AK","DISTRICT 5",2005,4204,4077,NA,NA,NA,NA,NA,NA,"Joseph Biden"
"73","AK","DISTRICT 6",2006,3272,5770,NA,NA,NA,NA,NA,NA,"Donald Trump"
"74","AK","DISTRICT 7",2007,2215,7027,NA,NA,NA,NA,NA,NA,"Donald Trump"
"75","AK","DISTRICT 8",2008,1953,7618,NA,NA,NA,NA,NA,NA,"Donald Trump"
"76","AK","DISTRICT 9",2009,2769,7787,NA,NA,NA,NA,NA,NA,"Donald Trump"
"77","AK","DISTRICT 10",2010,2727,8081,NA,NA,NA,NA,NA,NA,"Donald Trump"
"78","AK","DISTRICT 11",2011,3130,7096,NA,NA,NA,NA,NA,NA,"Donald Trump"
"79","AK","DISTRICT 12",2012,2957,7893,NA,NA,NA,NA,NA,NA,"Donald Trump"
"80","AK","DISTRICT 13",2013,2666,4652,NA,NA,NA,NA,NA,NA,"Donald Trump"
"81","AK","DISTRICT 14",2014,4261,6714,NA,NA,NA,NA,NA,NA,"Donald Trump"
"82","AK","DISTRICT 15",2015,2622,2671,NA,NA,NA,NA,NA,NA,"Donald Trump"
"83","AK","DISTRICT 16",2016,4274,3516,NA,NA,NA,NA,NA,NA,"Joseph Biden"
"84","AK","DISTRICT 17",2017,4136,2810,NA,NA,NA,NA,NA,NA,"Joseph Biden"
"85","AK","DISTRICT 18",2018,4681,2760,NA,NA,NA,NA,NA,NA,"Joseph Biden"
"86","AK","DISTRICT 19",2019,3118,1975,NA,NA,NA,NA,NA,NA,"Joseph Biden"
"87","AK","DISTRICT 20",2020,4881,2383,NA,NA,NA,NA,NA,NA,"Joseph Biden"
"88","AK","DISTRICT 21",2021,5414,3690,NA,NA,NA,NA,NA,NA,"Joseph Biden"
"89","AK","DISTRICT 22",2022,4553,4684,NA,NA,NA,NA,NA,NA,"Donald Trump"
"90","AK","DISTRICT 23",2023,3810,3655,NA,NA,NA,NA,NA,NA,"Joseph Biden"
"91","AK","DISTRICT 24",2024,4736,5378,NA,NA,NA,NA,NA,NA,"Donald Trump"
"92","AK","DISTRICT 25",2025,4600,4407,NA,NA,NA,NA,NA,NA,"Joseph Biden"
"93","AK","DISTRICT 26",2026,4558,5243,NA,NA,NA,NA,NA,NA,"Donald Trump"
"94","AK","DISTRICT 27",2027,4844,4324,NA,NA,NA,NA,NA,NA,"Joseph Biden"
"95","AK","DISTRICT 28",2028,6264,6162,NA,NA,NA,NA,NA,NA,"Joseph Biden"
"96","AK","DISTRICT 29",2029,2985,7464,NA,NA,NA,NA,NA,NA,"Donald Trump"
"97","AK","DISTRICT 30",2030,2638,7180,NA,NA,NA,NA,NA,NA,"Donald Trump"
"98","AK","DISTRICT 31",2031,5037,6971,NA,NA,NA,NA,NA,NA,"Donald Trump"
"99","AK","DISTRICT 32",2032,3506,4440,NA,NA,NA,NA,NA,NA,"Donald Trump"
"100","AK","DISTRICT 33",2033,7535,3059,NA,NA,NA,NA,NA,NA,"Joseph Biden"
"101","AK","DISTRICT 34",2034,5763,4543,NA,NA,NA,NA,NA,NA,"Joseph Biden"
"102","AK","DISTRICT 35",2035,5011,4769,NA,NA,NA,NA,NA,NA,"Joseph Biden"
"103","AK","DISTRICT 36",2036,3796,5114,NA,NA,NA,NA,NA,NA,"Donald Trump"
"104","AK","DISTRICT 37",2037,2560,2358,NA,NA,NA,NA,NA,NA,"Joseph Biden"
"105","AK","DISTRICT 38",2038,3202,1737,NA,NA,NA,NA,NA,NA,"Joseph Biden"
"106","AK","DISTRICT 39",2039,3580,1939,NA,NA,NA,NA,NA,NA,"Joseph Biden"
"107","AK","DISTRICT 40",2040,2318,1994,NA,NA,NA,NA,NA,NA,"Joseph Biden"
"108","AK","DISTRICT 99",2099,373,59,NA,NA,NA,NA,NA,NA,"Joseph Biden"
"109","AZ","APACHE",4001,23293,11442,"Apache County","AZ",-109.4911465,35.4050949,"arizona","apache","Joseph Biden"
"110","AZ","COCHISE",4003,23732,35557,"Cochise County","AZ",-109.7629489,31.88631155,"arizona","cochise","Donald Trump"
"111","AZ","COCONINO",4005,44698,27052,"Coconino County","AZ",-111.76825,35.83392392,"arizona","coconino","Joseph Biden"
"112","AZ","GILA",4007,8943,18377,"Gila County","AZ",-110.8133077,33.79957115,"arizona","gila","Donald Trump"
"113","AZ","GRAHAM",4009,4034,10749,"Graham County","AZ",-109.8990184,32.93441503,"arizona","graham","Donald Trump"
"114","AZ","GREENLEE",4011,1182,2433,"Greenlee County","AZ",-109.2466206,33.20886115,"arizona","greenlee","Donald Trump"
"115","AZ","LA PAZ",4012,2236,5129,"La Paz County","AZ",-113.9861542,33.72975345,"arizona","la paz","Donald Trump"
"116","AZ","MARICOPA",4013,1040774,995665,"Maricopa County","AZ",-112.4891389,33.35263707,"arizona","maricopa","Joseph Biden"
"117","AZ","MOHAVE",4015,24831,78535,"Mohave County","AZ",-113.7530226,35.70647702,"arizona","mohave","Donald Trump"
"118","AZ","NAVAJO",4017,23383,27657,"Navajo County","AZ",-110.3227634,35.39276591,"arizona","navajo","Donald Trump"
"119","AZ","PIMA",4019,304981,207758,"Pima County","AZ",-111.8001696,32.10501296,"arizona","pima","Joseph Biden"
"120","AZ","PINAL",4021,75106,107077,"Pinal County","AZ",-111.3518741,32.90667665,"arizona","pinal","Donald Trump"
"121","AZ","SANTA CRUZ",4023,13138,6194,"Santa Cruz County","AZ",-110.8630803,31.53600577,"arizona","santa cruz","Joseph Biden"
"122","AZ","YAVAPAI",4025,49602,91527,"Yavapai County","AZ",-112.5499732,34.59798155,"arizona","yavapai","Donald Trump"
"123","AZ","YUMA",4027,32210,36534,"Yuma County","AZ",-113.9078575,32.77978162,"arizona","yuma","Donald Trump"
"124","AR","ARKANSAS",5001,1818,4304,"Arkansas County","AR",-91.37334862,34.29669057,"arkansas","arkansas","Donald Trump"
"125","AR","ASHLEY",5003,2125,5548,"Ashley County","AR",-91.7718601,33.18646631,"arkansas","ashley","Donald Trump"
"126","AR","BAXTER",5005,4635,15836,"Baxter County","AR",-92.34346141,36.2916046,"arkansas","baxter","Donald Trump"
"127","AR","BENTON",5007,42249,73965,"Benton County","AR",-94.26402599,36.34167755,"arkansas","benton","Donald Trump"
"128","AR","BOONE",5009,3064,13652,"Boone County","AR",-93.08863785,36.30918328,"arkansas","boone","Donald Trump"
"129","AR","BRADLEY",5011,1214,2335,"Bradley County","AR",-92.16599707,33.46463041,"arkansas","bradley","Donald Trump"
"130","AR","CALHOUN",5013,479,1636,"Calhoun County","AR",-92.51042418,33.55396653,"arkansas","calhoun","Donald Trump"
"131","AR","CARROLL",5015,4023,7424,"Carroll County","AR",-93.54763094,36.33781409,"arkansas","carroll","Donald Trump"
"132","AR","CHICOT",5017,2260,1752,"Chicot County","AR",-91.29630665,33.26091752,"arkansas","chicot","Joseph Biden"
"133","AR","CLARK",5019,3438,4616,"Clark County","AR",-93.17439489,34.05703316,"arkansas","clark","Donald Trump"
"134","AR","CLAY",5021,962,4086,"Clay County","AR",-90.42501648,36.37179616,"arkansas","clay","Donald Trump"
"135","AR","CLEBURNE",5023,1988,10328,"Cleburne County","AR",-92.04132081,35.52982647,"arkansas","cleburne","Donald Trump"
"136","AR","CLEVELAND",5025,651,2867,"Cleveland County","AR",-92.18129679,33.89957956,"arkansas","cleveland","Donald Trump"
"137","AR","COLUMBIA",5027,2814,5500,"Columbia County","AR",-93.22920976,33.21548897,"arkansas","columbia","Donald Trump"
"138","AR","CONWAY",5029,2615,5694,"Conway County","AR",-92.69835872,35.25373435,"arkansas","conway","Donald Trump"
"139","AR","CRAIGHEAD",5031,11921,25558,"Craighead County","AR",-90.6430341,35.82915721,"arkansas","craighead","Donald Trump"
"140","AR","CRAWFORD",5033,4959,18607,"Crawford County","AR",-94.25175754,35.5843972,"arkansas","crawford","Donald Trump"
"141","AR","CRITTENDEN",5035,8514,7333,"Crittenden County","AR",-90.30149903,35.20144073,"arkansas","crittenden","Joseph Biden"
"142","AR","CROSS",5037,1772,4946,"Cross County","AR",-90.77551081,35.28915734,"arkansas","cross","Donald Trump"
"143","AR","DALLAS",5039,963,1573,"Dallas County","AR",-92.64901096,33.97069263,"arkansas","dallas","Donald Trump"
"144","AR","DESHA",5041,2016,1921,"Desha County","AR",-91.27147343,33.83234098,"arkansas","desha","Joseph Biden"
"145","AR","DREW",5043,2426,4349,"Drew County","AR",-91.72331533,33.58639516,"arkansas","drew","Donald Trump"
"146","AR","FAULKNER",5045,18347,34421,"Faulkner County","AR",-92.33094352,35.14224253,"arkansas","faulkner","Donald Trump"
"147","AR","FRANKLIN",5047,1300,5677,"Franklin County","AR",-93.89830963,35.50546758,"arkansas","franklin","Donald Trump"
"148","AR","FULTON",5049,1035,3961,"Fulton County","AR",-91.82490566,36.37956836,"arkansas","fulton","Donald Trump"
"149","AR","GARLAND",5051,14045,29069,"Garland County","AR",-93.14444412,34.57644159,"arkansas","garland","Donald Trump"
"150","AR","GRANT",5053,1268,6794,"Grant County","AR",-92.42539288,34.29749043,"arkansas","grant","Donald Trump"
"151","AR","GREENE",5055,3058,12670,"Greene County","AR",-90.55983788,36.11619833,"arkansas","greene","Donald Trump"
"152","AR","HEMPSTEAD",5057,2138,4470,"Hempstead County","AR",-93.66853507,33.73577783,"arkansas","hempstead","Donald Trump"
"153","AR","HOT SPRING",5059,3082,9202,"Hot Spring County","AR",-92.9384467,34.32236611,"arkansas","hot spring","Donald Trump"
"154","AR","HOWARD",5061,1340,3367,"Howard County","AR",-93.99788332,34.09553668,"arkansas","howard","Donald Trump"
"155","AR","INDEPENDENCE",5063,2806,11250,"Independence County","AR",-91.5785779,35.73542151,"arkansas","independence","Donald Trump"
"156","AR","IZARD",5065,1021,4631,"Izard County","AR",-91.9243404,36.08622486,"arkansas","izard","Donald Trump"
"157","AR","JACKSON",5067,1365,3593,"Jackson County","AR",-91.22316384,35.59122045,"arkansas","jackson","Donald Trump"
"158","AR","JEFFERSON",5069,14981,9521,"Jefferson County","AR",-91.93175235,34.27586793,"arkansas","jefferson","Joseph Biden"
"159","AR","JOHNSON",5071,2283,6938,"Johnson County","AR",-93.47142181,35.5632314,"arkansas","johnson","Donald Trump"
"160","AR","LAFAYETTE",5073,839,1757,"Lafayette County","AR",-93.60666142,33.23929763,"arkansas","lafayette","Donald Trump"
"161","AR","LAWRENCE",5075,1080,4569,"Lawrence County","AR",-91.1179187,36.03754262,"arkansas","lawrence","Donald Trump"
"162","AR","LEE",5077,1423,1286,"Lee County","AR",-90.77401809,34.78294893,"arkansas","lee","Joseph Biden"
"163","AR","LINCOLN",5079,1032,2729,"Lincoln County","AR",-91.72609781,33.96344474,"arkansas","lincoln","Donald Trump"
"164","AR","LITTLE RIVER",5081,1226,3715,"Little River County","AR",-94.24316887,33.70943008,"arkansas","little river","Donald Trump"
"165","AR","LOGAN",5083,1544,6441,"Logan County","AR",-93.72428698,35.21063233,"arkansas","logan","Donald Trump"
"166","AR","LONOKE",5085,6686,22884,"Lonoke County","AR",-91.89113355,34.75678213,"arkansas","lonoke","Donald Trump"
"167","AR","MADISON",5087,1563,5658,"Madison County","AR",-93.73086152,36.00389701,"arkansas","madison","Donald Trump"
"168","AR","MARION",5089,1531,5783,"Marion County","AR",-92.68189387,36.26366237,"arkansas","marion","Donald Trump"
"169","AR","MILLER",5091,4245,11920,"Miller County","AR",-93.89572104,33.31893465,"arkansas","miller","Donald Trump"
"170","AR","MISSISSIPPI",5093,4558,7296,"Mississippi County","AR",-90.05540172,35.75570531,"arkansas","mississippi","Donald Trump"
"171","AR","MONROE",5095,1147,1545,"Monroe County","AR",-91.20856742,34.67577812,"arkansas","monroe","Donald Trump"
"172","AR","MONTGOMERY",5097,731,3046,"Montgomery County","AR",-93.65831855,34.54772903,"arkansas","montgomery","Donald Trump"
"173","AR","NEVADA",5099,1076,2133,"Nevada County","AR",-93.3071694,33.66371797,"arkansas","nevada","Donald Trump"
"174","AR","NEWTON",5101,709,3192,"Newton County","AR",-93.22041269,35.9112378,"arkansas","newton","Donald Trump"
"175","AR","OUACHITA",5103,3995,5294,"Ouachita County","AR",-92.88709996,33.59759164,"arkansas","ouachita","Donald Trump"
"176","AR","PERRY",5105,1012,3479,"Perry County","AR",-92.9415163,34.94234579,"arkansas","perry","Donald Trump"
"177","AR","PHILLIPS",5107,3623,2417,"Phillips County","AR",-90.85023789,34.43593202,"arkansas","phillips","Joseph Biden"
"178","AR","PIKE",5109,644,3519,"Pike County","AR",-93.65884171,34.17130511,"arkansas","pike","Donald Trump"
"179","AR","POINSETT",5111,1424,5918,"Poinsett County","AR",-90.66737356,35.56784271,"arkansas","poinsett","Donald Trump"
"180","AR","POLK",5113,1246,7035,"Polk County","AR",-94.23785272,34.49701429,"arkansas","polk","Donald Trump"
"181","AR","POPE",5115,5772,18081,"Pope County","AR",-93.03339602,35.44081908,"arkansas","pope","Donald Trump"
"182","AR","PRAIRIE",5117,654,2786,"Prairie County","AR",-91.55385063,34.83173761,"arkansas","prairie","Donald Trump"
"183","AR","PULASKI",5119,101947,63687,"Pulaski County","AR",-92.3127229,34.77183315,"arkansas","pulaski","Joseph Biden"
"184","AR","RANDOLPH",5121,1215,5355,"Randolph County","AR",-91.0407469,36.34581173,"arkansas","randolph","Donald Trump"
"185","AR","ST. FRANCIS",5123,3604,3242,"St. Francis County","AR",-90.76062982,35.01549435,"arkansas","st francis","Joseph Biden"
"186","AR","SALINE",5125,16060,39556,"Saline County","AR",-92.67230801,34.65007785,"arkansas","saline","Donald Trump"
"187","AR","SCOTT",5127,483,2962,"Scott County","AR",-94.0745859,34.86653654,"arkansas","scott","Donald Trump"
"188","AR","SEARCY",5129,588,3365,"Searcy County","AR",-92.69877886,35.9044191,"arkansas","searcy","Donald Trump"
"189","AR","SEBASTIAN",5131,14487,31198,"Sebastian County","AR",-94.28039312,35.2038252,"arkansas","sebastian","Donald Trump"
"190","AR","SEVIER",5133,1116,3884,"Sevier County","AR",-94.25270738,34.00088746,"arkansas","sevier","Donald Trump"
"191","AR","SHARP",5135,1398,5938,"Sharp County","AR",-91.49387343,36.15308598,"arkansas","sharp","Donald Trump"
"192","AR","STONE",5137,1180,4616,"Stone County","AR",-92.16095128,35.85321963,"arkansas","stone","Donald Trump"
"193","AR","UNION",5139,5584,10478,"Union County","AR",-92.6011337,33.17079784,"arkansas","union","Donald Trump"
"194","AR","VAN BUREN",5141,1593,6034,"Van Buren County","AR",-92.52627345,35.57365455,"arkansas","van buren","Donald Trump"
"195","AR","WASHINGTON",5143,43824,47504,"Washington County","AR",-94.22168881,35.97609413,"arkansas","washington","Donald Trump"
"196","AR","WHITE",5145,5978,24182,"White County","AR",-91.74561822,35.25271047,"arkansas","white","Donald Trump"
"197","AR","WOODRUFF",5147,856,1543,"Woodruff County","AR",-91.24639277,35.1818549,"arkansas","woodruff","Donald Trump"
"198","AR","YELL",5149,1284,5226,"Yell County","AR",-93.41370271,35.00455982,"arkansas","yell","Donald Trump"
"199","CA","ALAMEDA",6001,617659,136309,"Alameda County","CA",-121.8494943,37.64653745,"california","alameda","Joseph Biden"
"200","CA","ALPINE",6003,476,244,"Alpine County","CA",-119.8176648,38.59540533,"california","alpine","Joseph Biden"
"201","CA","AMADOR",6005,8153,13585,"Amador County","CA",-120.6408645,38.45256542,"california","amador","Donald Trump"
"202","CA","BUTTE",6007,50426,48730,"Butte County","CA",-121.6007712,39.66723394,"california","butte","Joseph Biden"
"203","CA","CALAVERAS",6009,10046,16518,"Calaveras County","CA",-120.5530165,38.20920689,"california","calaveras","Donald Trump"
"204","CA","COLUSA",6011,3239,4559,"Colusa County","CA",-122.2414946,39.18270042,"california","colusa","Donald Trump"
"205","CA","CONTRA COSTA",6013,416386,152877,"Contra Costa County","CA",-121.9166794,37.91861075,"california","contra costa","Joseph Biden"
"206","CA","DEL NORTE",6015,4677,6461,"Del Norte County","CA",-123.9036495,41.76026868,"california","del norte","Donald Trump"
"207","CA","EL DORADO",6017,51621,61838,"El Dorado County","CA",-120.5285454,38.78075659,"california","el dorado","Donald Trump"
"208","CA","FRESNO",6019,193025,164464,"Fresno County","CA",-119.6410355,36.75367786,"california","fresno","Joseph Biden"
"209","CA","GLENN",6021,3995,7063,"Glenn County","CA",-122.3912787,39.60512352,"california","glenn","Donald Trump"
"210","CA","HUMBOLDT",6023,44768,21770,"Humboldt County","CA",-123.875444,40.70745304,"california","humboldt","Joseph Biden"
"211","CA","IMPERIAL",6025,34678,20847,"Imperial County","CA",-115.3751413,33.044716,"california","imperial","Joseph Biden"
"212","CA","INYO",6027,4634,4620,"Inyo County","CA",-117.4184965,36.51635004,"california","inyo","Joseph Biden"
"213","CA","KERN",6029,133366,164484,"Kern County","CA",-118.728692,35.34162905,"california","kern","Donald Trump"
"214","CA","KINGS",6031,18699,24072,"Kings County","CA",-119.8055367,36.06644424,"california","kings","Donald Trump"
"215","CA","LAKE",6033,14941,13123,"Lake County","CA",-122.7625711,39.10908218,"california","lake","Joseph Biden"
"216","CA","LASSEN",6035,2799,8970,"Lassen County","CA",-120.6006906,40.6874673,"california","lassen","Donald Trump"
"217","CA","LOS ANGELES",6037,3028885,1145530,"Los Angeles County","CA",-118.2127419,34.36995693,"california","los angeles","Joseph Biden"
"218","CA","MADERA",6039,23168,29378,"Madera County","CA",-119.7624132,37.21357187,"california","madera","Donald Trump"
"219","CA","MARIN",6041,128288,24612,"Marin County","CA",-122.695332,38.07104975,"california","marin","Joseph Biden"
"220","CA","MARIPOSA",6043,4088,5950,"Mariposa County","CA",-119.8983572,37.58055949,"california","mariposa","Donald Trump"
"221","CA","MENDOCINO",6045,28782,13267,"Mendocino County","CA",-123.3848961,39.45640061,"california","mendocino","Joseph Biden"
"222","CA","MERCED",6047,48991,39397,"Merced County","CA",-120.7210913,37.18523452,"california","merced","Joseph Biden"
"223","CA","MODOC",6049,1150,3109,"Modoc County","CA",-120.7383261,41.60846865,"california","modoc","Donald Trump"
"224","CA","MONO",6051,4013,2513,"Mono County","CA",-118.8873505,37.93876612,"california","mono","Joseph Biden"
"225","CA","MONTEREY",6053,113953,46299,"Monterey County","CA",-121.2123651,36.20884676,"california","monterey","Joseph Biden"
"226","CA","NAPA",6055,49817,20676,"Napa County","CA",-122.3382312,38.5091312,"california","napa","Joseph Biden"
"227","CA","NEVADA",6057,36359,26779,"Nevada County","CA",-120.7703875,39.30407464,"california","nevada","Joseph Biden"
"228","CA","ORANGE",6059,814009,676498,"Orange County","CA",-117.7532706,33.71695588,"california","orange","Joseph Biden"
"229","CA","PLACER",6061,106869,122488,"Placer County","CA",-120.7165927,39.06660908,"california","placer","Donald Trump"
"230","CA","PLUMAS",6063,4561,6445,"Plumas County","CA",-120.8496506,40.01530534,"california","plumas","Donald Trump"
"231","CA","RIVERSIDE",6065,528340,449144,"Riverside County","CA",-116.0093191,33.74562148,"california","riverside","Joseph Biden"
